"","X","k","density","inf_prob","rec_rate","duration","max_I","max_prevalence","percep","p","H","beta1","beta2","beta3","betas","pbyH","Hurst","proportion","lstructure"
"115",15,8,0.25,0.2,0.2,44,13181,0.798267926356589,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",16,8,0.25,0.2,0.2,48,13235,0.801538275193798,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",17,8,0.25,0.2,0.2,49,13254,0.802688953488372,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",18,8,0.25,0.2,0.2,42,13200,0.799418604651163,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",19,8,0.25,0.2,0.2,48,13198,0.799297480620155,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",20,8,0.25,0.2,0.2,40,13259,0.802991763565892,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",21,8,0.25,0.2,0.2,50,13132,0.795300387596899,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",22,8,0.25,0.2,0.2,61,13238,0.80171996124031,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",23,8,0.25,0.2,0.2,46,13219,0.800569282945736,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",24,8,0.25,0.2,0.2,55,13221,0.800690406976744,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",25,8,0.25,0.2,0.2,46,13270,0.803657945736434,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",26,8,0.25,0.2,0.2,48,13183,0.798389050387597,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",27,8,0.25,0.2,0.2,55,13226,0.800993217054264,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",28,8,0.25,0.2,0.2,45,13213,0.800205910852713,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",29,8,0.25,0.2,0.2,51,13252,0.802567829457364,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",30,8,0.25,0.2,0.2,44,13100,0.793362403100775,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",31,8,0.25,0.2,0.2,36,13251,0.802507267441861,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
